org.elasticsearch.action.search.SearchPhaseController::getHits(ReducedQueryPhase,boolean,Collection<? extends SearchPhaseResult>,IntFunction<SearchPhaseResult>);org.elasticsearch.action.search.SearchPhaseController.ReducedQueryPhase;0/7
org.elasticsearch.action.search.SearchPhaseController::reducedQueryPhase(Collection<? extends SearchPhaseResult>,List<InternalAggregations>,List<TopDocs>,TopDocsStats,int,boolean,ReduceContextBuilder,boolean);org.elasticsearch.action.search.SearchPhaseController.TopDocsStats;0/5
org.elasticsearch.cluster.routing.allocation.decider.DiskThresholdDecider::freeDiskPercentageAfterShardAssigned(DiskUsageWithRelocations,Long);org.elasticsearch.cluster.routing.allocation.decider.DiskThresholdDecider.DiskUsageWithRelocations;0/5
org.elasticsearch.action.search.SearchPhaseController::getLastEmittedDocPerShard(ReducedQueryPhase,int);org.elasticsearch.action.search.SearchPhaseController.ReducedQueryPhase;0/4
org.elasticsearch.cluster.RestoreInProgress::toXContent(Entry,XContentBuilder);org.elasticsearch.cluster.RestoreInProgress.Entry;0/4
org.elasticsearch.cluster.routing.allocation.IndexMetadataUpdater::updateInSyncAllocations(RoutingTable,IndexMetadata,Builder,ShardId,Updates);org.elasticsearch.cluster.routing.allocation.IndexMetadataUpdater.Updates;0/4
org.elasticsearch.action.search.CanMatchPreFilterSearchPhase::getIterator(CanMatchSearchPhaseResults,GroupShardsIterator<SearchShardIterator>);org.elasticsearch.action.search.CanMatchPreFilterSearchPhase.CanMatchSearchPhaseResults;0/3
org.elasticsearch.threadpool.ScalingExecutorBuilder::build(ScalingExecutorSettings,ThreadContext);org.elasticsearch.threadpool.ScalingExecutorBuilder.ScalingExecutorSettings;0/3
org.elasticsearch.cluster.service.MasterService::executeTasks(TaskInputs,ClusterState);org.elasticsearch.cluster.service.MasterService.TaskInputs;0/2
org.elasticsearch.index.store.Store::verifyAfterCleanup(MetadataSnapshot,MetadataSnapshot);org.elasticsearch.index.store.Store.MetadataSnapshot;0/2
